,TCGA-06-0001-01A,TCGA-06-0002-01A,TCGA-06-0003-01A,TCGA-06-0004-01A,TCGA-06-0005-01A,TCGA-06-0006-01A,TCGA-06-0007-01A,TCGA-06-0008-01A,TCGA-06-0009-01A,TCGA-06-0010-01A,TCGA-06-0011-01A,TCGA-06-0012-01A,TCGA-06-0013-01A,TCGA-06-0014-01A,TCGA-06-0015-01A,TCGA-06-0016-01A,TCGA-06-0017-01A,TCGA-06-0018-01A,TCGA-06-0019-01A,TCGA-06-0020-01A
EGFR,5.584962500721156,5.807354922057604,5.426264754702098,5.727920454563199,5.882643049361842,5.459431618637297,5.554588851677638,5.643856189774724,5.727920454563199,5.523561956057013,5.643856189774724,5.459431618637297,5.727920454563199,5.727920454563199,5.554588851677638,5.78135971352466,5.357552004618084,5.523561956057013,5.554588851677638,5.700439718141092
PTEN,6.022367813028454,5.727920454563199,5.285402218862249,5.087462841250339,5.614709844115208,5.882643049361842,5.523561956057013,5.392317422778761,5.832890014164741,5.78135971352466,5.832890014164741,5.584962500721156,5.906890595608519,5.554588851677638,5.554588851677638,5.807354922057604,5.930737337562887,5.357552004618084,5.832890014164741,5.832890014164741
TP53,5.672425341971495,5.554588851677638,5.954196310386875,5.614709844115208,5.491853096329675,5.523561956057013,6.0,5.754887502163468,5.857980995127572,5.930737337562887,5.554588851677638,5.491853096329675,5.614709844115208,5.357552004618084,6.044394119358453,5.672425341971495,6.129283016944966,5.672425341971495,5.523561956057013,5.727920454563199
IDH1,5.129283016944966,5.954196310386875,5.392317422778761,5.78135971352466,5.491853096329675,5.584962500721156,5.754887502163468,5.321928094887363,5.554588851677638,5.78135971352466,5.672425341971495,5.754887502163468,5.78135971352466,6.022367813028454,5.584962500721156,5.523561956057013,5.857980995127572,5.700439718141092,5.321928094887363,5.954196310386875
MGMT,5.584962500721156,5.930737337562887,5.754887502163468,5.727920454563199,5.321928094887363,5.700439718141092,5.754887502163468,5.807354922057604,5.554588851677638,5.754887502163468,5.754887502163468,5.321928094887363,5.523561956057013,5.930737337562887,5.857980995127572,5.727920454563199,5.459431618637297,5.523561956057013,5.754887502163468,5.977279923499917
CDKN2A,5.614709844115208,5.523561956057013,5.882643049361842,5.426264754702098,6.022367813028454,5.700439718141092,5.392317422778761,5.930737337562887,5.78135971352466,5.584962500721156,5.857980995127572,5.672425341971495,5.857980995127572,5.78135971352466,5.930737337562887,5.584962500721156,5.727920454563199,5.643856189774724,5.523561956057013,4.906890595608519
RB1,5.857980995127572,5.392317422778761,5.832890014164741,5.754887502163468,5.129283016944966,5.700439718141092,5.672425341971495,5.857980995127572,5.643856189774724,5.882643049361842,5.614709844115208,5.426264754702098,5.700439718141092,5.754887502163468,5.700439718141092,5.614709844115208,5.584962500721156,5.087462841250339,5.906890595608519,5.643856189774724
PIK3CA,5.672425341971495,5.426264754702098,5.614709844115208,5.754887502163468,5.584962500721156,5.672425341971495,5.754887502163468,5.247927513443585,6.022367813028454,5.614709844115208,5.643856189774724,6.022367813028454,5.459431618637297,5.321928094887363,5.321928094887363,5.247927513443585,5.882643049361842,5.857980995127572,5.357552004618084,5.754887502163468
GENE_0001,5.807354922057604,5.523561956057013,5.807354922057604,5.584962500721156,5.584962500721156,5.906890595608519,5.807354922057604,5.672425341971495,5.554588851677638,5.614709844115208,5.954196310386875,6.066089190457772,5.754887502163468,5.523561956057013,5.78135971352466,5.321928094887363,5.169925001442312,5.643856189774724,5.584962500721156,5.392317422778761
GENE_0002,5.727920454563199,5.285402218862249,5.78135971352466,5.584962500721156,5.584962500721156,5.832890014164741,5.614709844115208,5.357552004618084,5.169925001442312,5.357552004618084,5.807354922057604,6.129283016944966,5.523561956057013,5.247927513443585,5.754887502163468,5.643856189774724,5.727920454563199,5.087462841250339,5.643856189774724,5.523561956057013
GENE_0003,5.643856189774724,5.727920454563199,5.78135971352466,5.554588851677638,5.78135971352466,5.954196310386875,5.727920454563199,6.0,5.087462841250339,5.584962500721156,5.727920454563199,5.882643049361842,5.614709844115208,5.882643049361842,5.643856189774724,6.087462841250339,5.491853096329675,5.727920454563199,5.357552004618084,5.672425341971495
GENE_0004,5.672425341971495,5.700439718141092,5.930737337562887,5.392317422778761,5.832890014164741,5.78135971352466,5.392317422778761,5.584962500721156,5.614709844115208,5.954196310386875,5.672425341971495,5.614709844115208,5.672425341971495,5.672425341971495,5.754887502163468,5.247927513443585,5.392317422778761,5.392317422778761,5.459431618637297,5.954196310386875
