	TCGA-06-0001-01A	TCGA-06-0002-01A	TCGA-06-0003-01A	TCGA-06-0004-01A	TCGA-06-0005-01A	TCGA-06-0006-01A	TCGA-06-0007-01A	TCGA-06-0008-01A	TCGA-06-0009-01A	TCGA-06-0010-01A	TCGA-06-0011-01A	TCGA-06-0012-01A	TCGA-06-0013-01A	TCGA-06-0014-01A	TCGA-06-0015-01A	TCGA-06-0016-01A	TCGA-06-0017-01A	TCGA-06-0018-01A	TCGA-06-0019-01A	TCGA-06-0020-01A
EGFR	47	55	42	52	58	43	46	49	52	45	49	43	52	52	46	54	40	45	46	51
PTEN	64	52	38	33	48	58	45	41	56	54	56	47	59	46	46	55	60	40	56	56
TP53	50	46	61	48	44	45	63	53	57	60	46	44	48	40	65	50	69	50	45	52
IDH1	34	61	41	54	44	47	53	39	46	54	50	53	54	64	47	45	57	51	39	61
MGMT	47	60	53	52	39	51	53	55	46	53	53	39	45	60	57	52	43	45	53	62
CDKN2A	48	45	58	42	64	51	41	60	54	47	57	50	57	54	60	47	52	49	45	29
RB1	57	41	56	53	34	51	50	57	49	58	48	42	51	53	51	48	47	33	59	49
PIK3CA	50	42	48	53	47	50	53	37	64	48	49	64	43	39	39	37	58	57	40	53
GENE_0001	55	45	55	47	47	59	55	50	46	48	61	66	53	45	54	39	35	49	47	41
GENE_0002	52	38	54	47	47	56	48	40	35	40	55	69	45	37	53	49	52	33	49	45
GENE_0003	49	52	54	46	54	61	52	63	33	47	52	58	48	58	49	67	44	52	40	50
GENE_0004	50	51	60	41	56	54	41	47	48	61	50	48	50	50	53	37	41	41	43	61
GENE_0005	53	43	42	42	40	43	50	53	36	57	43	47	52	49	31	50	40	51	45	43
GENE_0006	52	56	38	52	49	45	53	52	39	44	43	38	40	57	42	63	51	56	46	50
GENE_0007	40	45	42	51	46	46	45	56	49	47	40	64	51	41	43	42	53	47	48	49
GENE_0008	49	55	44	47	61	53	41	52	60	41	44	47	40	41	57	44	55	54	44	43
GENE_0009	52	49	42	50	63	54	52	48	49	59	52	35	57	46	51	47	55	44	41	50
GENE_0010	62	52	41	50	37	43	51	56	50	48	42	47	53	55	44	57	53	39	58	54
GENE_0011	45	43	43	48	57	45	52	53	51	56	59	60	48	45	53	41	42	40	45	53
GENE_0012	43	59	52	48	50	42	38	44	45	55	51	53	55	52	50	46	40	55	54	44
GENE_0013	57	45	47	62	66	43	59	57	54	44	65	42	62	54	65	46	44	37	47	36
GENE_0014	51	46	60	44	59	59	64	56	50	56	48	44	47	46	32	48	56	48	65	52
GENE_0015	65	52	44	44	56	48	54	57	44	52	39	45	59	53	38	47	55	38	54	58
GENE_0016	50	58	54	45	57	58	54	54	52	42	59	58	46	42	58	53	53	56	56	69
GENE_0017	54	46	37	47	55	56	50	54	48	42	54	38	53	66	49	48	48	60	43	53
GENE_0018	59	71	59	56	41	62	57	40	54	43	36	45	46	48	52	54	56	50	41	52
GENE_0019	51	46	38	30	48	51	57	42	53	54	55	47	38	51	49	50	38	44	59	43
GENE_0020	53	51	43	37	45	59	55	47	59	49	50	61	45	62	53	55	42	72	59	44
GENE_0021	49	47	42	71	53	56	44	42	46	48	52	42	53	58	52	43	45	51	32	49
GENE_0022	46	32	53	49	50	41	46	43	72	54	59	54	65	50	59	54	44	48	40	59
GENE_0023	51	60	46	57	57	57	51	46	48	48	44	44	52	52	47	50	47	52	52	57
GENE_0024	67	43	53	47	50	45	57	46	55	48	42	43	54	51	69	57	66	44	52	47
GENE_0025	56	57	53	53	52	55	44	52	44	52	54	48	41	55	45	43	44	37	37	44
GENE_0026	60	51	46	51	49	51	42	43	39	56	53	63	48	51	50	38	41	56	45	51
GENE_0027	48	52	62	40	47	59	57	38	42	47	53	41	62	52	42	48	47	46	49	53
GENE_0028	52	42	56	41	46	54	57	46	50	41	49	47	58	56	48	56	51	68	40	49
GENE_0029	39	41	55	47	49	56	54	45	49	53	53	36	41	50	32	55	37	47	47	53
GENE_0030	42	53	45	46	53	43	52	53	57	52	57	41	63	47	49	65	40	60	45	62
GENE_0031	56	58	56	42	33	41	57	50	55	52	46	54	53	42	39	57	51	52	47	51
GENE_0032	56	55	67	46	46	49	60	48	54	52	57	52	53	52	51	54	45	50	35	56
GENE_0033	56	49	46	38	52	53	53	40	58	51	43	46	45	46	45	59	43	49	41	55
GENE_0034	49	56	52	55	67	35	45	61	45	49	36	30	61	51	47	64	48	45	43	49
